class	valid_positions	shared_hg002	shared_chimp	shared_bonobo	shared_gorilla	shared_borang	shared_sorang	shared_siamang	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	2557863390	2525375197	1798337436	1797345863	1633421032	1105552523	1106169894	951432354	414560277	21614950	2121688163	2242319167	315544223
SD	107557529	106133087	73723300	73796714	68525284	44162232	44375366	36258143	21129333	1073459	85354737	32967985	74589544
ct	211349033	208765247	149605462	149139321	135101438	89576848	89522396	75993433	36639577	1778301	172931155	135381332	75967701
mon	13489190	13247050	8170129	7847909	7069904	5067193	5059254	3590059	3691391	173185	9624614	5702118	7787072
dhor	1854559	1790701	976899	922084	847186	577273	573360	292301	666263	51006	1137290	826917	1027642
hor	8080032	7727961	2754676	2729085	2548816	1752403	1734954	688750	4139781	317790	3622461	369840	7710192
hor_active	62245795	60640538	25266763	23510165	24945409	10322494	9918517	3628827	29338451	1447687	31459657	677259	61568536
bsat	8609737	8257481	3173825	3106892	2275992	634164	659382	533555	4683115	344116	3582506	2026642	6583095
gsat	650590	630484	273986	270543	190003	66047	66490	39675	291017	17778	341795	482175	168415
hsat1A	13390882	12833811	2862219	3040868	3992755	67	60	49	8332823	528227	4529832	255173	13135709
hsat1B	15319979	15289342	867783	711111	894233	208953	180372	340907	14169837	30343	1119799	215633	15104346
hsat2	28705695	28410848	9499429	9384358	7340208	6846	6474	4654	17628826	287094	10789775	833998	27871697
hsat3	69334314	68562564	21746860	22338711	20258637	13276316	13000890	12717130	41488698	684879	27160737	3426195	65908119
censat	8912512	8770357	4235650	4186658	3519670	1676202	1646632	877062	3594081	116342	5202089	1872580	7039932
rDNA	9928083	9893290	5157841	5107685	4362478	3027311	3029243	2820008	3789237	30869	6107977	6075	9922008
ALL	3117291320	3076327958	2106652258	2103437967	1915293045	1275906872	1275943284	1089216907	604142707	28496026	2484652587	2427363089	689928231
