class	valid_positions	shared_hg002	shared_chimp	shared_bonobo	shared_gorilla	shared_borang	shared_sorang	shared_siamang	shared_random	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	319732905	310396170	149950245	149757568	120913159	52480085	52542196	38999508	0	112592650	7251169	199889086	309195209	10537696
SD	13444619	13008059	5856130	5853739	4884536	1865856	1879828	1297931	0	5501082	369145	7574392	6355282	7089337
ct	26418632	25671254	12309080	12222742	9746529	4016415	4014967	2940524	0	9903008	598720	15916904	20306374	6112258
mon	1686153	1614923	439774	411819	314072	108042	107842	75291	0	1030257	61806	594090	1089390	596763
dhor	231824	212595	34841	30711	22357	10577	10517	7811	0	168540	18076	45208	176900	54924
hor	1010001	906958	40007	40265	26856	5292	5160	1459	0	846742	102378	60881	105385	904616
hor_active	7780728	7178445	328193	253752	255405	6615	6674	2452	0	6703624	598598	478506	241303	7539425
bsat	1076205	962995	125009	123812	77225	16614	16359	10204	0	805216	112353	158636	410450	665755
gsat	81320	76110	16843	16729	10350	1249	1294	506	0	52944	4908	23468	65310	16010
hsat1A	1673860	1455120	809	535	2197	0	0	0	0	1452411	218646	2803	95250	1578610
hsat1B	1914998	1907014	2648	958	3544	205	216	194	0	1903242	7982	3774	63879	1851119
hsat2	3588214	3478225	61159	118979	23417	126	126	114	0	3336287	109871	142056	215768	3372446
hsat3	8666790	8279642	171900	184243	214327	53979	44934	95975	0	7967402	381846	317542	932010	7734780
censat	1114063	1073389	265411	261753	173900	35723	34488	16573	0	732250	37662	344151	327768	786295
rDNA	1241011	1225618	310765	304737	242790	139456	140450	155255	0	843021	14804	383186	2011	1239000
ALL	389661323	377446517	169912814	169582342	136910664	58740234	58805051	43603797	0	153838676	9887964	225934683	339582289	50079034
