class	valid_positions	shared_hg002_pat	shared_chm13	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	2627333316	2561938095	2562416441	0	33127424	2594205892	2251781731	375551585
SD	0	0	0	0	0	0	0	0
ct	79730480	77315470	78022708	0	993289	78737191	27647512	52082968
mon	12920701	12568561	12499440	0	211412	12709289	5200884	7719817
dhor	1713282	1665913	1623333	0	24440	1688842	806281	907001
hor	7889582	7375360	7367101	0	283689	7605893	399991	7489591
hor_active	58423055	56954587	55799138	0	812212	57610843	639563	57783492
bsat	5837652	5589091	5622297	0	136306	5701346	1326805	4510847
gsat	706457	679450	671469	0	14213	692244	457644	248813
hsat1A	11266090	10291179	10731085	0	351675	10914415	245522	11020568
hsat1B	1368971	1189719	1302639	0	41441	1327530	78415	1290556
hsat2	17955470	17368680	17609041	0	205296	17750174	815638	17139832
hsat3	40855076	38759516	39523388	0	950598	39904478	2784026	38071050
censat	6671411	6353873	6370102	0	195342	6476069	1751401	4920010
rDNA	1081465	1068753	1065427	0	9399	1072066	31065	1050400
ALL	2873753008	2799118247	2800623609	0	37356736	2836396272	2293966478	579786530
