class	valid_positions	shared_hg002_pat	shared_chm13	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	2777776009	2588470661	2710796679	0	35184428	2742591581	2375635424	402140585
SD	0	0	0	0	0	0	0	0
ct	79774151	77337195	78066263	0	993405	78780746	27669050	52105101
mon	13489405	12724395	13066553	0	213002	13276403	5603072	7886333
dhor	1723333	1669822	1633374	0	24450	1698883	812050	911283
hor	7889582	7375360	7367101	0	283689	7605893	399991	7489591
hor_active	61536297	57713054	58887002	0	837197	60699100	690261	60846036
bsat	5837652	5589091	5622297	0	136306	5701346	1326805	4510847
gsat	747185	680727	712073	0	14337	732848	496808	250377
hsat1A	11266090	10291179	10731085	0	351675	10914415	245522	11020568
hsat1B	1368971	1189719	1302639	0	41441	1327530	78415	1290556
hsat2	17955470	17368680	17609041	0	205296	17750174	815638	17139832
hsat3	40857259	38761691	39525571	0	950598	39906661	2785720	38071539
censat	6791506	6358605	6489506	0	196033	6595473	1866009	4925497
rDNA	1081465	1068753	1065427	0	9399	1072066	31065	1050400
ALL	3028094375	2826598932	2952874611	0	39441256	2988653119	2418455830	609638545
